lat,lng,cap
23.9903,109.7039,8.7
25.5124,-100.8644,0.67
34.5904,135.935,1.9
42.0321,125.6632,0.66
35.0183,126.7816,0.46
44.009,127.1905,1.25
35.7937,138.0385,3.51
31.1107,112.2354,1.58
24.752,111.3959,3.22
-12.8795,-39.8033,6.43
37.0776,127.5173,1.26
35.8162,127.4865,1.72
48.6624,10.8228,0.48
21.1126,103.7083,1.66
33.2818,126.535,0.5
30.7663,76.4673,1.06
43.6798,12.7442,1.96
11.2812,106.8439,2.71
34.5773,-118.6926,0.38
41.3908,26.5519,1.34
-26.235,28.0931,1.05
-6.4002,107.1904,0.62
33.2343,107.533,1.13
49.7217,8.0793,2.13
45.2865,11.1451,0.31
41.0301,118.9024,2.19
49.0094,10.646,5.6
50.494,9.7263,7.29
48.9434,-88.3145,5.5
50.3415,13.8185,0.76
24.4198,103.4228,3.91
-6.2762,107.0975,4.81
52.8929,17.4558,0.58
38.9755,-104.253,40.59
-18.3079,-39.9255,5.6
34.7192,137.3459,0.79
33.549,131.298,0.67
38.0038,-76.7483,23.3
31.4028,130.3295,0.37
11.4192,106.4378,2.41
32.9435,114.3581,0.4
48.114,20.835,0.78
10.5717,107.4962,2.09
50.9526,11.8199,0.49
34.5945,135.447,4.93
43.3,13.6873,0.39
34.8222,109.0246,0.95
51.4375,11.9554,1.02
36.7135,38.9702,1.27
44.0007,12.4061,0.64
10.6117,77.7068,7.04
18.4088,-70.0356,1.29
32.2459,116.0431,0.37
34.6983,-80.1344,87.03
35.3557,126.6565,1.07
51.4583,-0.4611,0.36
32.4968,117.3874,0.97
51.0564,18.6218,2.02
30.9389,108.9113,1.38
39.8807,4.252,1.64
40.1748,120.2018,8.3
37.1735,127.6166,1.74
29.9522,115.6507,80.04
39.3649,141.5317,0.76
36.4429,128.2788,1.66
31.9401,118.6407,1.26
42.2793,24.6377,0.51
30.4023,113.2572,5.82
38.9989,-77.0592,0.74
36.0976,113.4449,1.76
34.9283,136.5105,0.78
38.6243,21.5694,0.38
55.8669,12.4896,0.47
29.1836,120.9712,2.38
43.4151,24.4438,0.65
43.3373,13.3134,12.67
31.6504,-106.4847,0.68
39.6461,22.5358,0.71
45.6002,9.0338,0.58
22.0901,108.9727,4.73
41.5857,-71.4914,0.68
39.821,-86.4545,1.87
30.1069,113.3641,8.98
40.2456,22.5602,0.38
44.29,-0.894,0.88
40.6308,22.6226,0.98
36.7268,118.991,3.85
36.326,138.9629,0.46
24.9578,103.2508,1.6
44.6907,29.005,0.31
38.3858,23.2161,0.65
29.2652,119.3673,57.77
35.1483,109.2444,0.37
-7.7827,-37.552,0.88
29.5242,120.7563,1.5
47.46,127.02,1.27
38.8466,28.733,0.64
39.8854,-5.7049,4.19
34.3227,133.9535,3.2
39.6318,-122.1408,0.5
48.5214,11.5599,5.0
23.3647,108.2508,1.91
13.5766,100.6321,1.18
25.1644,101.4864,2.12
35.8055,-77.3413,3.88
50.3488,11.0158,2.43
50.471,16.6082,0.45
39.2365,-76.8262,0.3
48.38,12.8215,1.53
35.0704,25.2987,0.59
33.6503,119.1206,2.24
31.1916,121.2967,15.48
45.3352,11.478,1.29
44.0356,10.1179,0.5
25.5398,101.8217,6.27
25.2797,118.8709,0.74
36.28,128.0754,0.36
38.6647,21.1518,2.08
45.9563,17.4698,5.86
36.2758,126.8258,1.02
34.2695,116.2696,0.42
27.8879,113.2007,0.76
24.2876,110.3731,9.95
36.6894,101.7347,0.64
34.5569,-118.0422,0.29
43.1225,13.7681,1.49
35.191,33.0217,0.37
-21.3075,-46.6772,0.63
40.4834,-8.0926,0.86
41.087,24.9238,0.82
46.4255,123.5981,25.71
33.9154,102.5548,1.03
32.7226,112.948,0.87
